"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2664","Login Test with username: undefined and password: Password123 @datadriven","chromium","2026-05-30","failed","2026-05-30","","LoginDataDrivern.spec.ts","",""
"","1754","Product search test @master @regression","chromium","2026-05-31","passed","2026-05-31","","SearchProduct.spec.ts","",""
"","2247","invalid login with wrong password @datadriven","chromium","2026-05-31","passed","2026-05-31","","LoginDataDrivern.spec.ts","",""
"","2260","Login Test with username: another.user@example.com and password: SecretPass456 @datadriven","chromium","2026-05-30","failed","2026-05-30","","LoginDataDrivern.spec.ts","",""
"","2","Login Test with username: undefined and password: SecretPass456 @datadriven","chromium","2026-05-30","failed","2026-05-30","","LoginDataDrivern.spec.ts","",""
"","10681","Account Registion","chromium","2026-05-30","passed","2026-05-30","","AccountRegister.spec.ts","",""
"","8531","Login with valid credentials","chromium","2026-05-30","passed","2026-05-30","","Login.spec.ts","",""
"","6551","Account Registion @master @regression @sanity","chromium","2026-05-31","passed","2026-05-31","","AccountRegister.spec.ts","",""
"","2622","valid login @datadriven","chromium","2026-05-31","passed","2026-05-31","","LoginDataDrivern.spec.ts","",""
"","7952","Logout functionality @master @regression","chromium","2026-05-31","passed","2026-05-31","","Logout.spec.ts","",""
"","8404","execute end-to-end test flow @end-to-end @master","chromium","2026-05-31","passed","2026-05-31","","EndToEndTest.spec.ts","",""
"","4430","Test-1 @datadriven","chromium","2026-05-30","passed","2026-05-30","","LoginDataDrivern.spec.ts","",""
"","10072","execute end-to-end test flow @end-to-end","chromium","2026-05-30","passed","2026-05-30","","EndToEndTest.spec.ts","",""
"","2380","Login Test with username: testuser@example.com and password: Password123 @datadriven","chromium","2026-05-30","failed","2026-05-30","","LoginDataDrivern.spec.ts","",""
"","7671","Login with valid credentials @master","chromium","2026-05-31","passed","2026-05-31","","Login.spec.ts","",""
"","9272","Logout functionality @master","chromium","2026-05-30","passed","2026-05-30","","Logout.spec.ts","",""
"","1959","Test-2 @datadriven","chromium","2026-05-30","passed","2026-05-30","","LoginDataDrivern.spec.ts","",""
"","2066","Search Product @master @regression","chromium","2026-05-30","failed","2026-05-30","","SearchProduct.spec.ts","",""
"","7404","Add product to cart test @master @regression","chromium","2026-05-31","passed","2026-05-31","","AddToCart.spec.ts","",""
